Game,iOS,Android,Paid,Reviews (iOS),Average Stars(iOS),Category(iOS),URL(iOS),Last Updated (iOS),Reviews (Android),Average Stars (Android),Installs (Android),Category(Android),URL(Android),Last Updated (Android),Goals,Challenges,Competition/Leaderboards,Collaboration,Social Influences,High Scores,Badges,Plot,Narrative,Points,Levels,Unlockable Content,Lifelines,Real-life-incentives,Remarks
Activate Fitness,yes,yes,free,9,5,Health & Fitness,https://apps.apple.com/us/app/activate-fitness/id1229668661,43923,1,5,100,Health & Fitness,https://play.google.com/store/apps/details?id=com.activatefitness.app,43799,yes,,,,,,,,,,,,,yes,"earn screen time by doing physical activities, real-life incentive is you get to use phone more?"
My Heart Mate,yes,yes,free,2,5,Health & Fitness,https://apps.apple.com/us/app/my-heart-mate/id1111456437,42923,5,4.2,500,Health & Fitness,https://play.google.com/store/apps/details?id=com.elevatorentertainment.myheartmate&hl=en_US,42938,,yes,,yes,yes,,,,,,,,,,
The Activity Track,removed,removed,free,,,,,,N/A,N/A,N/A,,N/A,,yes,,,,,,,,yes,,,yes,,,
SPRYFIT - Make Your Move Count,removed,removed,free,,,,,,,,,,N/A,,yes,yes,yes,,yes,,,,,,,,,yes,earn cash
Burn to Give🔥- Exercising for a Hunger-Free World,yes,yes,free,24,4.9,Health & Fitness,https://apps.apple.com/us/app/burn-to-give-track-donate/id1436625423,43925,763,4.2,100000,Health & Fitness,https://play.google.com/store/apps/details?id=com.burntogive.calories&hl=en_US,43929,,yes,,yes,yes,,,,,,,,,,
Pact: Earn Cash for Exercising,no,yes,,,,,N/A,,5579,2.4,500000,Health & Fitness,https://play.google.com/store/apps/details?id=com.gympact.android&hl=en_US,42908,,,,,yes,,,,,,,,,yes,
activity club,yes,yes,free,46,2,Health & Fitness,https://apps.apple.com/us/app/activity-club/id903459923,43238,156,3.5,10000,Health & Fitness,https://play.google.com/store/apps/details?id=com.activityclub&hl=en_US,42982,yes,yes,,,yes,,,,,yes,,,,,here we put into challenge category because it explicitly says challenge
FitTogether - Social Fitness and Gym Community App,yes,yes,free,7,5,Health & Fitness,https://apps.apple.com/us/app/fittogether-social-fitness/id1446674035,43917,18,3.9,1000,Health & Fitness,https://play.google.com/store/apps/details?id=com.origamistudios.fittogether&hl=en_US,43936,yes,yes,,,yes,,,,,,,,,,more of a fitness/gym trainer than a step based app
10k PLEDGE by TruVision,yes,yes,free,29,2.9,Health & Fitness,https://apps.apple.com/us/app/10k-pledge-by-truvision/id1170578990,43886,80,2.8,10000,Health & Fitness,https://play.google.com/store/apps/details?id=com.nudgeyourself.tenkpledge&hl=en_US,43929,yes,,,,yes,,,,,,,,,,doesn't have a lot of gamification element
Humantiv - Earn Rewards by Improving Health,yes,yes,free,10,4.8,Health & Fitness,https://apps.apple.com/us/app/humantiv/id1347054342?ign-mpt=uo%3D4,43559,1,1,100,Health & Fitness,https://play.google.com/store/apps/details?id=io.citizenhealth.humantiv&hl=en_US,43924,yes,,,,,,,,,yes,,,,yes,"erc-20 token reward, bitcoin"
Fitbit,yes,yes,free,89100,4.1,Health & Fitness,https://apps.apple.com/us/app/fitbit-health-fitness/id462638897,43936,623325,3.7,10000000,Health & Fitness,https://play.google.com/store/apps/details?id=com.fitbit.FitbitMobile,43937,yes,yes,yes,,yes,,yes,,yes,,,,,,
My Virtual Mission,yes,yes,in-app,187,4,Health & Fitness,https://apps.apple.com/us/app/my-virtual-mission/id662435493,43548,469,4.4,10000,Health & Fitness,https://play.google.com/store/apps/details?id=com.myvirtualmission.android,43814,yes,,,,,,,,yes,yes,,,,yes,"points=raised amount, narrative=virtual trail"
Stroll - Walking Tracker,yes,yes,free,43,4.7,Health & Fitness,https://apps.apple.com/us/app/stroll-walking-tracker/id1300210680,43923,142,4.4,10000,Health & Fitness,https://play.google.com/store/apps/details?id=com.zaxislabs.stroll.android&utm_source=appgrooves&utm_medium=agp_d01504c5a9bc843f263b2686500b160d_com.zaxislabs.stroll.android_us_others_15732449543237,43927,,yes,yes,,yes,,,,,,,,,,
Optimity,yse,yes,free,26,4.3,Health & Fitness,https://apps.apple.com/ca/app/optimity/id975041781,43903,56,4.3,1000,Health & Fitness,https://play.google.com/store/apps/details?id=com.myhealthsphere.challenger&utm_source=appgrooves&utm_medium=agp_d01504c5a9bc843f263b2686500b160d_com.myhealthsphere.challenger_us_others_15732450261270,43901,,yes,yes,,yes,,,,,,,,,yes,
Runbet,yes,yes,free,212,3.9,Health & Fitness,https://apps.apple.com/us/app/runbet-run-more-earn-more/id1261518769,43362,157,3.4,10000,Health & Fitness,https://play.google.com/store/apps/details?id=com.runbet.np&hl=en_US,43362,,yes,,,yes,,,,,,,,,yes,betting run app
